,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,,BusinessYear,Loc,PlanId,Age,Married,Dependents,Rate,CombInnOonIndividualMOOP,DedCombInnOonIndividual,DedInnTier1Coinsurance,DedInnTier1Individual,DedOutOfNetIndividual,InnTier1IndividualMOOP,OutOfNetIndividualMOOP,MetalLevel
1,1,2014,AK1,38344AK0570001,0-20,No,none,182,0,0,0,0,0,0,0,Bronze
2,2,2014,AK1,38344AK0570001,0-20,No,none,182,,,0,5250,10500,5250,,Bronze
3,3,2014,AK1,38344AK0570001,0-20,No,none,182,,,0,0,0,0,,Bronze
4,4,2014,AK1,38344AK0570001,0-20,No,none,182,,,20,5250,10500,6100,,Bronze
5,5,2014,AK1,38344AK0570001,21,No,none,307,0,0,0,0,0,0,0,Bronze
6,6,2014,AK1,38344AK0570001,21,No,none,307,,,0,5250,10500,5250,,Bronze
7,7,2014,AK1,38344AK0570001,21,No,none,307,,,0,0,0,0,,Bronze
8,8,2014,AK1,38344AK0570001,21,No,none,307,,,20,5250,10500,6100,,Bronze
9,9,2014,AK1,38344AK0570001,22,No,none,307,0,0,0,0,0,0,0,Bronze
10,10,2014,AK1,38344AK0570001,22,No,none,307,,,0,5250,10500,5250,,Bronze
11,11,2014,AK1,38344AK0570001,22,No,none,307,,,0,0,0,0,,Bronze
12,12,2014,AK1,38344AK0570001,22,No,none,307,,,20,5250,10500,6100,,Bronze
13,13,2014,AK1,38344AK0570001,23,No,none,307,0,0,0,0,0,0,0,Bronze
14,14,2014,AK1,38344AK0570001,23,No,none,307,,,0,5250,10500,5250,,Bronze
15,15,2014,AK1,38344AK0570001,23,No,none,307,,,0,0,0,0,,Bronze
16,16,2014,AK1,38344AK0570001,23,No,none,307,,,20,5250,10500,6100,,Bronze
17,17,2014,AK1,38344AK0570001,24,No,none,307,0,0,0,0,0,0,0,Bronze
18,18,2014,AK1,38344AK0570001,24,No,none,307,,,0,5250,10500,5250,,Bronze
19,19,2014,AK1,38344AK0570001,24,No,none,307,,,0,0,0,0,,Bronze
